DATE,PX_LAST,PX_LAST
1/31/2015,0.18,1.68
2/1/2015,0.18,1.68
2/2/2015,0.17,1.68
2/3/2015,0.21,1.79
2/4/2015,0.2,1.81
2/5/2015,0.2,1.83
2/6/2015,0.26,1.95
2/7/2015,0.26,1.95
2/8/2015,0.26,1.95
2/9/2015,0.24,1.96
2/10/2015,0.25,2.01
2/11/2015,0.24,2
2/12/2015,0.23,1.99
2/13/2015,0.23,2.02
2/14/2015,0.23,2.02
2/15/2015,0.23,2.02
2/16/2015,0.23,2.02
2/17/2015,0.25,2.14
2/18/2015,0.23,2.07
2/19/2015,0.23,2.11
2/20/2015,0.23,2.13
2/21/2015,0.23,2.13
2/22/2015,0.23,2.13
2/23/2015,0.22,2.06
2/24/2015,0.22,1.99
2/25/2015,0.21,1.96
2/26/2015,0.22,2.03
2/27/2015,0.22,2
2/28/2015,0.22,2
3/1/2015,0.22,2
3/2/2015,0.22,2.08
3/3/2015,0.26,2.12
3/4/2015,0.26,2.12
3/5/2015,0.25,2.11
3/6/2015,0.27,2.24
3/7/2015,0.27,2.24
3/8/2015,0.27,2.24
3/9/2015,0.27,2.2
3/10/2015,0.25,2.14
3/11/2015,0.25,2.11
3/12/2015,0.24,2.1
3/13/2015,0.24,2.13
3/14/2015,0.24,2.13
3/15/2015,0.24,2.13
3/16/2015,0.26,2.1
3/17/2015,0.27,2.06
3/18/2015,0.23,1.93
3/19/2015,0.26,1.98
3/20/2015,0.24,1.93
3/21/2015,0.24,1.93
3/22/2015,0.24,1.93
3/23/2015,0.24,1.92
3/24/2015,0.24,1.88
3/25/2015,0.25,1.93
3/26/2015,0.28,2.01
3/27/2015,0.27,1.95
3/28/2015,0.27,1.95
3/29/2015,0.27,1.95
3/30/2015,0.27,1.96
3/31/2015,0.26,1.94
4/1/2015,0.27,1.87
4/2/2015,0.25,1.92
4/3/2015,0.21,1.85
4/4/2015,0.21,1.85
4/5/2015,0.21,1.85
4/6/2015,0.21,1.92
4/7/2015,0.22,1.89
4/8/2015,0.22,1.92
4/9/2015,0.22,1.97
4/10/2015,0.24,1.96
4/11/2015,0.24,1.96
4/12/2015,0.24,1.96
4/13/2015,0.23,1.94
4/14/2015,0.23,1.9
4/15/2015,0.23,1.91
4/16/2015,0.22,1.9
4/17/2015,0.23,1.87
4/18/2015,0.23,1.87
4/19/2015,0.23,1.87
4/20/2015,0.24,1.9
4/21/2015,0.23,1.92
4/22/2015,0.23,1.99
4/23/2015,0.24,1.96
4/24/2015,0.24,1.93
4/25/2015,0.24,1.93
4/26/2015,0.24,1.93
4/27/2015,0.25,1.94
4/28/2015,0.24,2
4/29/2015,0.25,2.06
4/30/2015,0.24,2.05
5/1/2015,0.25,2.12
5/2/2015,0.25,2.12
5/3/2015,0.25,2.12
5/4/2015,0.25,2.16
5/5/2015,0.24,2.19
5/6/2015,0.25,2.25
5/7/2015,0.24,2.18
5/8/2015,0.23,2.16
5/9/2015,0.23,2.16
5/10/2015,0.23,2.16
5/11/2015,0.25,2.28
5/12/2015,0.25,2.28
5/13/2015,0.24,2.27
5/14/2015,0.23,2.23
5/15/2015,0.23,2.14
5/16/2015,0.23,2.14
5/17/2015,0.23,2.14
5/18/2015,0.22,2.23
5/19/2015,0.23,2.27
5/20/2015,0.23,2.26
5/21/2015,0.22,2.19
5/22/2015,0.23,2.21
5/23/2015,0.23,2.21
5/24/2015,0.23,2.21
5/25/2015,0.23,2.21
5/26/2015,0.24,2.14
5/27/2015,0.27,2.14
5/28/2015,0.26,2.13
5/29/2015,0.26,2.12
5/30/2015,0.26,2.12
5/31/2015,0.26,2.12
6/1/2015,0.26,2.19
6/2/2015,0.26,2.27
6/3/2015,0.26,2.38
6/4/2015,0.27,2.31
6/5/2015,0.29,2.41
6/6/2015,0.29,2.41
6/7/2015,0.29,2.41
6/8/2015,0.27,2.39
6/9/2015,0.27,2.42
6/10/2015,0.28,2.5
6/11/2015,0.28,2.39
6/12/2015,0.28,2.39
6/13/2015,0.28,2.39
6/14/2015,0.28,2.39
6/15/2015,0.28,2.36
6/16/2015,0.28,2.32
6/17/2015,0.27,2.32
6/18/2015,0.26,2.35
6/19/2015,0.25,2.26
6/20/2015,0.25,2.26
6/21/2015,0.25,2.26
6/22/2015,0.27,2.37
6/23/2015,0.3,2.42
6/24/2015,0.3,2.38
6/25/2015,0.29,2.4
6/26/2015,0.29,2.49
6/27/2015,0.29,2.49
6/28/2015,0.29,2.49
6/29/2015,0.27,2.33
6/30/2015,0.28,2.35
7/1/2015,0.28,2.43
7/2/2015,0.26,2.4
7/3/2015,0.26,2.4
7/4/2015,0.26,2.4
7/5/2015,0.26,2.4
7/6/2015,0.26,2.3
7/7/2015,0.25,2.27
7/8/2015,0.24,2.22
7/9/2015,0.25,2.32
7/10/2015,0.28,2.42
7/11/2015,0.28,2.42
7/12/2015,0.28,2.42
7/13/2015,0.28,2.44
7/14/2015,0.27,2.41
7/15/2015,0.28,2.36
7/16/2015,0.29,2.36
7/17/2015,0.29,2.34
7/18/2015,0.29,2.34
7/19/2015,0.29,2.34
7/20/2015,0.31,2.38
7/21/2015,0.34,2.35
7/22/2015,0.34,2.33
7/23/2015,0.33,2.28
7/24/2015,0.32,2.27
7/25/2015,0.32,2.27
7/26/2015,0.32,2.27
7/27/2015,0.32,2.23
7/28/2015,0.32,2.26
7/29/2015,0.33,2.29
7/30/2015,0.36,2.28
7/31/2015,0.33,2.2
8/1/2015,0.33,2.2
8/2/2015,0.33,2.2
8/3/2015,0.33,2.16
8/4/2015,0.37,2.23
8/5/2015,0.38,2.28
8/6/2015,0.35,2.23
8/7/2015,0.38,2.18
8/8/2015,0.38,2.18
8/9/2015,0.38,2.18
8/10/2015,0.4,2.24
8/11/2015,0.37,2.15
8/12/2015,0.37,2.14
8/13/2015,0.4,2.19
8/14/2015,0.41,2.2
8/15/2015,0.41,2.2
8/16/2015,0.41,2.2
8/17/2015,0.4,2.16
8/18/2015,0.42,2.2
8/19/2015,0.39,2.12
8/20/2015,0.39,2.09
8/21/2015,0.36,2.05
8/22/2015,0.36,2.05
8/23/2015,0.36,2.05
8/24/2015,0.33,2.01
8/25/2015,0.36,2.12
8/26/2015,0.35,2.18
8/27/2015,0.36,2.18
8/28/2015,0.38,2.19
8/29/2015,0.38,2.19
8/30/2015,0.38,2.19
8/31/2015,0.39,2.21
9/1/2015,0.39,2.17
9/2/2015,0.37,2.2
9/3/2015,0.36,2.18
9/4/2015,0.36,2.13
9/5/2015,0.36,2.13
9/6/2015,0.36,2.13
9/7/2015,0.36,2.13
9/8/2015,0.39,2.2
9/9/2015,0.39,2.21
9/10/2015,0.39,2.23
9/11/2015,0.4,2.2
9/12/2015,0.4,2.2
9/13/2015,0.4,2.2
9/14/2015,0.4,2.18
9/15/2015,0.47,2.28
9/16/2015,0.46,2.3
9/17/2015,0.39,2.21
9/18/2015,0.35,2.13
9/19/2015,0.35,2.13
9/20/2015,0.35,2.13
9/21/2015,0.36,2.2
9/22/2015,0.35,2.14
9/23/2015,0.34,2.16
9/24/2015,0.32,2.13
9/25/2015,0.35,2.17
9/26/2015,0.35,2.17
9/27/2015,0.35,2.17
9/28/2015,0.34,2.1
9/29/2015,0.33,2.05
9/30/2015,0.33,2.06
10/1/2015,0.31,2.05
10/2/2015,0.25,1.99
10/3/2015,0.25,1.99
10/4/2015,0.25,1.99
10/5/2015,0.26,2.07
10/6/2015,0.26,2.05
10/7/2015,0.27,2.08
10/8/2015,0.27,2.12
10/9/2015,0.28,2.12
10/10/2015,0.28,2.12
10/11/2015,0.28,2.12
10/12/2015,0.28,2.12
10/13/2015,0.27,2.06
10/14/2015,0.21,1.99
10/15/2015,0.22,2.04
10/16/2015,0.23,2.04
10/17/2015,0.23,2.04
10/18/2015,0.23,2.04
10/19/2015,0.23,2.04
10/20/2015,0.23,2.08
10/21/2015,0.23,2.04
10/22/2015,0.23,2.04
10/23/2015,0.24,2.09
10/24/2015,0.24,2.09
10/25/2015,0.24,2.09
10/26/2015,0.25,2.07
10/27/2015,0.29,2.05
10/28/2015,0.33,2.1
10/29/2015,0.33,2.19
10/30/2015,0.34,2.16
10/31/2015,0.34,2.16
11/1/2015,0.34,2.16
11/2/2015,0.37,2.2
11/3/2015,0.39,2.23
11/4/2015,0.4,2.25
11/5/2015,0.42,2.26
11/6/2015,0.47,2.34
11/7/2015,0.47,2.34
11/8/2015,0.47,2.34
11/9/2015,0.47,2.36
11/10/2015,0.51,2.32
11/11/2015,0.51,2.32
11/12/2015,0.51,2.32
11/13/2015,0.5,2.28
11/14/2015,0.5,2.28
11/15/2015,0.5,2.28
11/16/2015,0.5,2.27
11/17/2015,0.5,2.25
11/18/2015,0.49,2.27
11/19/2015,0.49,2.24
11/20/2015,0.49,2.26
11/21/2015,0.49,2.26
11/22/2015,0.49,2.26
11/23/2015,0.5,2.25
11/24/2015,0.52,2.24
11/25/2015,0.52,2.23
11/26/2015,0.52,2.23
11/27/2015,0.5,2.22
11/28/2015,0.5,2.22
11/29/2015,0.5,2.22
11/30/2015,0.51,2.21
12/1/2015,0.51,2.15
12/2/2015,0.52,2.18
12/3/2015,0.57,2.33
12/4/2015,0.6,2.28
12/5/2015,0.6,2.28
12/6/2015,0.6,2.28
12/7/2015,0.67,2.23
12/8/2015,0.76,2.24
12/9/2015,0.72,2.22
12/10/2015,0.71,2.24
12/11/2015,0.68,2.13
12/12/2015,0.68,2.13
12/13/2015,0.68,2.13
12/14/2015,0.68,2.23
12/15/2015,0.69,2.28
12/16/2015,0.7,2.3
12/17/2015,0.69,2.24
12/18/2015,0.67,2.19
12/19/2015,0.67,2.19
12/20/2015,0.67,2.19
12/21/2015,0.64,2.2
12/22/2015,0.66,2.24
12/23/2015,0.65,2.27
12/24/2015,0.64,2.25
12/25/2015,0.64,2.25
12/26/2015,0.64,2.25
12/27/2015,0.64,2.25
12/28/2015,0.66,2.24
12/29/2015,0.67,2.32
12/30/2015,0.64,2.31
12/31/2015,0.65,2.27
1/1/2016,0.65,2.27
1/2/2016,0.65,2.27
1/3/2016,0.65,2.27
1/4/2016,0.61,2.24
1/5/2016,0.68,2.25
1/6/2016,0.67,2.18
1/7/2016,0.66,2.16
1/8/2016,0.64,2.13
1/9/2016,0.64,2.13
1/10/2016,0.64,2.13
1/11/2016,0.63,2.17
1/12/2016,0.62,2.12
1/13/2016,0.6,2.08
1/14/2016,0.55,2.1
1/15/2016,0.49,2.03
1/16/2016,0.49,2.03
1/17/2016,0.49,2.03
1/18/2016,0.49,2.03
1/19/2016,0.48,2.06
1/20/2016,0.43,2.01
1/21/2016,0.44,2.02
1/22/2016,0.47,2.07
1/23/2016,0.47,2.07
1/24/2016,0.47,2.07
1/25/2016,0.47,2.03
1/26/2016,0.47,2.01
1/27/2016,0.47,2.02
1/28/2016,0.47,2
1/29/2016,0.47,1.94
1/30/2016,0.47,1.94
1/31/2016,0.47,1.94
2/1/2016,0.47,1.97
2/2/2016,0.54,1.87
2/3/2016,0.54,1.88
2/4/2016,0.52,1.87
2/5/2016,0.55,1.86
2/6/2016,0.55,1.86
2/7/2016,0.55,1.86
2/8/2016,0.51,1.75
2/9/2016,0.52,1.74
2/10/2016,0.52,1.71
2/11/2016,0.47,1.63
2/12/2016,0.51,1.74
2/13/2016,0.51,1.74
2/14/2016,0.51,1.74
2/15/2016,0.51,1.74
2/16/2016,0.51,1.78
2/17/2016,0.53,1.81
2/18/2016,0.53,1.75
2/19/2016,0.53,1.76
2/20/2016,0.53,1.76
2/21/2016,0.53,1.76
2/22/2016,0.55,1.77
2/23/2016,0.55,1.74
2/24/2016,0.55,1.75
2/25/2016,0.56,1.71
2/26/2016,0.6,1.76
2/27/2016,0.6,1.76
2/28/2016,0.6,1.76
2/29/2016,0.62,1.74
3/1/2016,0.68,1.83
3/2/2016,0.67,1.84
3/3/2016,0.65,1.83
3/4/2016,0.67,1.88
3/5/2016,0.67,1.88
3/6/2016,0.67,1.88
3/7/2016,0.67,1.91
3/8/2016,0.68,1.83
3/9/2016,0.68,1.9
3/10/2016,0.69,1.93
3/11/2016,0.7,1.98
3/12/2016,0.7,1.98
3/13/2016,0.7,1.98
3/14/2016,0.7,1.97
3/15/2016,0.71,1.97
3/16/2016,0.66,1.94
3/17/2016,0.64,1.91
3/18/2016,0.62,1.88
3/19/2016,0.62,1.88
3/20/2016,0.62,1.88
3/21/2016,0.63,1.92
3/22/2016,0.64,1.94
3/23/2016,0.64,1.88
3/24/2016,0.63,1.91
3/25/2016,0.63,1.91
3/26/2016,0.63,1.91
3/27/2016,0.63,1.91
3/28/2016,0.65,1.89
3/29/2016,0.63,1.81
3/30/2016,0.61,1.83
3/31/2016,0.59,1.78
4/1/2016,0.62,1.79
4/2/2016,0.62,1.79
4/3/2016,0.62,1.79
4/4/2016,0.59,1.78
4/5/2016,0.56,1.73
4/6/2016,0.55,1.76
4/7/2016,0.52,1.7
4/8/2016,0.54,1.72
4/9/2016,0.54,1.72
4/10/2016,0.54,1.72
4/11/2016,0.53,1.73
4/12/2016,0.54,1.79
4/13/2016,0.55,1.77
4/14/2016,0.55,1.8
4/15/2016,0.53,1.76
4/16/2016,0.53,1.76
4/17/2016,0.53,1.76
4/18/2016,0.52,1.78
4/19/2016,0.53,1.79
4/20/2016,0.54,1.85
4/21/2016,0.56,1.88
4/22/2016,0.56,1.89
4/23/2016,0.56,1.89
4/24/2016,0.56,1.89
4/25/2016,0.57,1.91
4/26/2016,0.61,1.94
4/27/2016,0.58,1.87
4/28/2016,0.56,1.84
4/29/2016,0.56,1.83
4/30/2016,0.56,1.83
5/1/2016,0.56,1.83
5/2/2016,0.55,1.88
5/3/2016,0.53,1.81
5/4/2016,0.52,1.79
5/5/2016,0.51,1.76
5/6/2016,0.51,1.79
5/7/2016,0.51,1.79
5/8/2016,0.51,1.79
5/9/2016,0.51,1.77
5/10/2016,0.52,1.77
5/11/2016,0.53,1.73
5/12/2016,0.54,1.75
5/13/2016,0.55,1.71
5/14/2016,0.55,1.71
5/15/2016,0.55,1.71
5/16/2016,0.57,1.75
5/17/2016,0.58,1.76
5/18/2016,0.63,1.87
5/19/2016,0.64,1.85
5/20/2016,0.67,1.85
5/21/2016,0.67,1.85
5/22/2016,0.67,1.85
5/23/2016,0.69,1.84
5/24/2016,0.69,1.86
5/25/2016,0.67,1.87
5/26/2016,0.65,1.83
5/27/2016,0.68,1.85
5/28/2016,0.68,1.85
5/29/2016,0.68,1.85
5/30/2016,0.68,1.85
5/31/2016,0.68,1.84
6/1/2016,0.7,1.85
6/2/2016,0.68,1.81
6/3/2016,0.6,1.71
6/4/2016,0.6,1.71
6/5/2016,0.6,1.71
6/6/2016,0.6,1.73
6/7/2016,0.59,1.72
6/8/2016,0.6,1.71
6/9/2016,0.59,1.68
6/10/2016,0.57,1.64
6/11/2016,0.57,1.64
6/12/2016,0.57,1.64
6/13/2016,0.55,1.62
6/14/2016,0.55,1.62
6/15/2016,0.52,1.6
6/16/2016,0.53,1.57
6/17/2016,0.51,1.62
6/18/2016,0.51,1.62
6/19/2016,0.51,1.62
6/20/2016,0.56,1.67
6/21/2016,0.57,1.71
6/22/2016,0.56,1.69
6/23/2016,0.58,1.74
6/24/2016,0.48,1.57
6/25/2016,0.48,1.57
6/26/2016,0.48,1.57
6/27/2016,0.45,1.46
6/28/2016,0.45,1.46
6/29/2016,0.46,1.5
6/30/2016,0.45,1.49
7/1/2016,0.45,1.46
7/2/2016,0.45,1.46
7/3/2016,0.45,1.46
7/4/2016,0.45,1.46
7/5/2016,0.44,1.37
7/6/2016,0.46,1.38
7/7/2016,0.47,1.4
7/8/2016,0.48,1.37
7/9/2016,0.48,1.37
7/10/2016,0.48,1.37
7/11/2016,0.5,1.43
7/12/2016,0.52,1.53
7/13/2016,0.51,1.48
7/14/2016,0.53,1.53
7/15/2016,0.52,1.6
7/16/2016,0.52,1.6
7/17/2016,0.52,1.6
7/18/2016,0.52,1.59
7/19/2016,0.56,1.56
7/20/2016,0.56,1.59
7/21/2016,0.54,1.57
7/22/2016,0.55,1.57
7/23/2016,0.55,1.57
7/24/2016,0.55,1.57
7/25/2016,0.55,1.58
7/26/2016,0.55,1.57
7/27/2016,0.53,1.52
7/28/2016,0.53,1.52
7/29/2016,0.5,1.46
7/30/2016,0.5,1.46
7/31/2016,0.5,1.46
8/1/2016,0.5,1.51
8/2/2016,0.5,1.55
8/3/2016,0.53,1.55
8/4/2016,0.51,1.51
8/5/2016,0.56,1.59
8/6/2016,0.56,1.59
8/7/2016,0.56,1.59
8/8/2016,0.57,1.59
8/9/2016,0.55,1.55
8/10/2016,0.55,1.5
8/11/2016,0.55,1.57
8/12/2016,0.56,1.51
8/13/2016,0.56,1.51
8/14/2016,0.56,1.51
8/15/2016,0.56,1.55
8/16/2016,0.57,1.57
8/17/2016,0.58,1.56
8/18/2016,0.58,1.53
8/19/2016,0.59,1.58
8/20/2016,0.59,1.58
8/21/2016,0.59,1.58
8/22/2016,0.58,1.55
8/23/2016,0.58,1.55
8/24/2016,0.59,1.56
8/25/2016,0.6,1.58
8/26/2016,0.62,1.62
8/27/2016,0.62,1.62
8/28/2016,0.62,1.62
8/29/2016,0.62,1.57
8/30/2016,0.61,1.57
8/31/2016,0.61,1.58
9/1/2016,0.6,1.57
9/2/2016,0.59,1.6
9/3/2016,0.59,1.6
9/4/2016,0.59,1.6
9/5/2016,0.59,1.6
9/6/2016,0.56,1.55
9/7/2016,0.57,1.54
9/8/2016,0.57,1.61
9/9/2016,0.58,1.67
9/10/2016,0.58,1.67
9/11/2016,0.58,1.67
9/12/2016,0.57,1.68
9/13/2016,0.63,1.73
9/14/2016,0.62,1.7
9/15/2016,0.6,1.71
9/16/2016,0.61,1.7
9/17/2016,0.61,1.7
9/18/2016,0.61,1.7
9/19/2016,0.6,1.7
9/20/2016,0.61,1.69
9/21/2016,0.61,1.66
9/22/2016,0.6,1.63
9/23/2016,0.6,1.62
9/24/2016,0.6,1.62
9/25/2016,0.6,1.62
9/26/2016,0.58,1.59
9/27/2016,0.58,1.56
9/28/2016,0.6,1.57
9/29/2016,0.59,1.56
9/30/2016,0.59,1.6
10/1/2016,0.59,1.6
10/2/2016,0.59,1.6
10/3/2016,0.63,1.63
10/4/2016,0.64,1.69
10/5/2016,0.65,1.72
10/6/2016,0.65,1.75
10/7/2016,0.66,1.73
10/8/2016,0.66,1.73
10/9/2016,0.66,1.73
10/10/2016,0.66,1.73
10/11/2016,0.69,1.77
10/12/2016,0.68,1.79
10/13/2016,0.66,1.75
10/14/2016,0.66,1.8
10/15/2016,0.66,1.8
10/16/2016,0.66,1.8
10/17/2016,0.65,1.77
10/18/2016,0.66,1.75
10/19/2016,0.65,1.76
10/20/2016,0.66,1.76
10/21/2016,0.66,1.74
10/22/2016,0.66,1.74
10/23/2016,0.66,1.74
10/24/2016,0.66,1.77
10/25/2016,0.66,1.77
10/26/2016,0.67,1.79
10/27/2016,0.68,1.85
10/28/2016,0.66,1.86
10/29/2016,0.66,1.86
10/30/2016,0.66,1.86
10/31/2016,0.66,1.84
11/1/2016,0.65,1.83
11/2/2016,0.64,1.81
11/3/2016,0.64,1.82
11/4/2016,0.62,1.79
11/5/2016,0.62,1.79
11/6/2016,0.62,1.79
11/7/2016,0.63,1.83
11/8/2016,0.71,1.88
11/9/2016,0.72,2.07
11/10/2016,0.72,2.15
11/11/2016,0.72,2.15
11/12/2016,0.72,2.15
11/13/2016,0.72,2.15
11/14/2016,0.77,2.23
11/15/2016,0.78,2.23
11/16/2016,0.76,2.22
11/17/2016,0.77,2.29
11/18/2016,0.77,2.34
11/19/2016,0.77,2.34
11/20/2016,0.77,2.34
11/21/2016,0.78,2.33
11/22/2016,0.78,2.31
11/23/2016,0.8,2.36
11/24/2016,0.8,2.36
11/25/2016,0.81,2.36
11/26/2016,0.81,2.36
11/27/2016,0.81,2.36
11/28/2016,0.79,2.32
11/29/2016,0.78,2.3
11/30/2016,0.8,2.37
12/1/2016,0.82,2.45
12/2/2016,0.8,2.4
12/3/2016,0.8,2.4
12/4/2016,0.8,2.4
12/5/2016,0.82,2.39
12/6/2016,0.83,2.39
12/7/2016,0.85,2.34
12/8/2016,0.84,2.4
12/9/2016,0.85,2.47
12/10/2016,0.85,2.47
12/11/2016,0.85,2.47
12/12/2016,0.85,2.49
12/13/2016,0.88,2.48
12/14/2016,0.92,2.54
12/15/2016,0.91,2.6
12/16/2016,0.91,2.6
12/17/2016,0.91,2.6
12/18/2016,0.91,2.6
12/19/2016,0.9,2.54
12/20/2016,0.9,2.57
12/21/2016,0.88,2.55
12/22/2016,0.87,2.55
12/23/2016,0.87,2.55
12/24/2016,0.87,2.55
12/25/2016,0.87,2.55
12/26/2016,0.87,2.55
12/27/2016,0.89,2.57
12/28/2016,0.9,2.51
12/29/2016,0.85,2.49
12/30/2016,0.85,2.45
12/31/2016,0.85,2.45
1/1/2017,0.85,2.45
1/2/2017,0.85,2.45
1/3/2017,0.89,2.45
1/4/2017,0.87,2.46
1/5/2017,0.83,2.37
1/6/2017,0.85,2.42
1/7/2017,0.85,2.42
1/8/2017,0.85,2.42
1/9/2017,0.82,2.38
1/10/2017,0.82,2.38
1/11/2017,0.82,2.38
1/12/2017,0.81,2.36
1/13/2017,0.82,2.4
1/14/2017,0.82,2.4
1/15/2017,0.82,2.4
1/16/2017,0.82,2.4
1/17/2017,0.8,2.33
1/18/2017,0.82,2.42
1/19/2017,0.83,2.47
1/20/2017,0.82,2.48
1/21/2017,0.82,2.48
1/22/2017,0.82,2.48
1/23/2017,0.79,2.41
1/24/2017,0.81,2.47
1/25/2017,0.82,2.53
1/26/2017,0.82,2.51
1/27/2017,0.82,2.49
1/28/2017,0.82,2.49
1/29/2017,0.82,2.49
1/30/2017,0.81,2.49
1/31/2017,0.84,2.45
2/1/2017,0.83,2.48
2/2/2017,0.84,2.48
2/3/2017,0.82,2.49
2/4/2017,0.82,2.49
2/5/2017,0.82,2.49
2/6/2017,0.79,2.42
2/7/2017,0.8,2.4
2/8/2017,0.79,2.34
2/9/2017,0.8,2.4
2/10/2017,0.81,2.41
2/11/2017,0.81,2.41
2/12/2017,0.81,2.41
2/13/2017,0.82,2.43
2/14/2017,0.84,2.47
2/15/2017,0.86,2.51
2/16/2017,0.82,2.45
2/17/2017,0.82,2.42
2/18/2017,0.82,2.42
2/19/2017,0.82,2.42
2/20/2017,0.82,2.42
2/21/2017,0.83,2.43
2/22/2017,0.82,2.42
2/23/2017,0.81,2.38
2/24/2017,0.8,2.31
2/25/2017,0.8,2.31
2/26/2017,0.8,2.31
2/27/2017,0.81,2.36
2/28/2017,0.88,2.36
3/1/2017,0.92,2.46
3/2/2017,0.98,2.49
3/3/2017,0.98,2.49
3/4/2017,0.98,2.49
3/5/2017,0.98,2.49
3/6/2017,0.97,2.49
3/7/2017,1.02,2.52
3/8/2017,1.03,2.57
3/9/2017,1.04,2.6
3/10/2017,1.03,2.58
3/11/2017,1.03,2.58
3/12/2017,1.03,2.58
3/13/2017,1.06,2.62
3/14/2017,1.06,2.6
3/15/2017,1.02,2.51
3/16/2017,1.01,2.53
3/17/2017,1,2.5
3/18/2017,1,2.5
3/19/2017,1,2.5
3/20/2017,1.01,2.47
3/21/2017,1,2.43
3/22/2017,0.99,2.4
3/23/2017,0.99,2.41
3/24/2017,1,2.4
3/25/2017,1,2.4
3/26/2017,1,2.4
3/27/2017,1,2.38
3/28/2017,1.03,2.42
3/29/2017,1.04,2.39
3/30/2017,1.03,2.42
3/31/2017,1.03,2.4
4/1/2017,1.03,2.4
4/2/2017,1.03,2.4
4/3/2017,1.02,2.35
4/4/2017,1.03,2.36
4/5/2017,1.03,2.34
4/6/2017,1.05,2.34
4/7/2017,1.08,2.38
4/8/2017,1.08,2.38
4/9/2017,1.08,2.38
4/10/2017,1.07,2.37
4/11/2017,1.05,2.32
4/12/2017,1.04,2.28
4/13/2017,1.03,2.24
4/14/2017,1.03,2.24
4/15/2017,1.03,2.24
4/16/2017,1.03,2.24
4/17/2017,1.04,2.26
4/18/2017,1.04,2.26
